timestamp,mmsi,name,latitude,longitude,speed,course,vessel_type
2025-09-19T12:42:20.724936,123222339,RONJA BOUY 5,70.934595,25.6341,0.6,0.0,0
2025-09-19T12:42:20.724945,273254860,KAPITAN TARAN,71.77166666666668,31.328333333333333,11.0,326.0,30
2025-09-19T12:42:20.724947,273254880,MECHANIC STEPANOV,70.146522,17.277745,11.7,43.0,30
2025-09-19T12:42:20.724968,352005711,GRAND EXPLORER,68.008492,14.750778,9.0,45.5,70
2025-09-19T12:42:20.724984,250400644,250400644,69.40476,18.42109,0.1,174.9,0
2025-09-19T12:42:20.725012,941500415,ELLA LOVISE 0,67.832712,12.974438,0.4,304.5,0
2025-09-19T12:42:20.725015,941500449,UNNUR BUOY 21,71.303762,30.349315,1.3,149.2,0
2025-09-19T12:42:20.725017,941500450,UNNUR BUOY 15,71.415928,30.546593,2.4,81.0,0
2025-09-19T12:42:20.725024,941500554,MAIKENJENTA BU 41,69.985688,30.265527,1.3,50.7,0
2025-09-19T12:42:20.725029,941500651,TK9 BUOY 2 66,70.598115,20.338587,1.3,281.2,0
2025-09-19T12:42:20.725036,941500801,MARIE K BUOY 97,68.577517,16.525722,0.2,15.9,0
2025-09-19T12:42:20.725039,941500813,ANTON EMILIAN 31,70.780553,26.151333,1.6,321.3,0
2025-09-19T12:42:20.725041,941500819,ANTON EMILIAN 18,70.795722,26.005812,1.2,62.1,0
2025-09-19T12:42:20.725045,941500894,BROR 4 BUOY 66,70.074208,29.741903,0.2,121.2,0
2025-09-19T12:42:20.725048,941500985,TRYGVE B BOUY 94 S,74.975603,33.17106,2.7,26.3,0
2025-09-19T12:42:20.725050,941500989,HANS BUOY 26,71.083093,27.265945,2.4,196.8,0
2025-09-19T12:42:20.725053,941501039,NEPTUN BUOY 2 95,70.83782,29.632765,1.2,293.3,0
2025-09-19T12:42:20.725055,941501040,NEPTUN BUOY 1 91,70.831487,29.684518,2.4,60.0,0
2025-09-19T12:42:20.725058,941501099,SAGA BJOERG BU 48,71.038628,28.597417,4.5,192.9,0
2025-09-19T12:42:20.725061,941501107,GK BUOY 53,71.036393,28.592878,1.8,122.5,0
2025-09-19T12:42:20.725065,413559690,RUN HAI XIANG YANG,81.74,12.453333333333335,35.0,108.0,70
2025-09-19T12:42:20.725071,109120353,RB 4 BOUY 73,69.825478,17.911947,1.5,340.0,0
